Date,Price,Open,High,Low,Vol.,Change %,GoogleValues
2016-02-28,432.5,431.3,435.6,421.2,50.85,0.27,53
2016-02-21,437.9,440.1,447.6,425.5,100.5,-0.5,55
2016-02-14,405.5,390.1,405.9,390.1,73.59,3.95,57
2016-02-07,377.9,376.7,382.6,375.3,40.74,0.33,51
2016-01-31,369.8,377.8,380.5,366.9,39.02,-2.1,44
2016-01-24,402.1,388.6,405.4,385.5,64.54,3.48,49
2016-01-17,382.5,385.0,390.7,377.7,66.09,-0.67,59
2016-01-10,446.2,448.3,448.9,438.6,44.46,-0.47,57
2016-01-03,430.7,433.7,434.1,423.1,54.83,-0.7,54
2015-12-27,422.4,415.4,425.5,406.1,67.58,1.69,60
2015-12-20,441.8,461.2,462.8,431.1,121.53,-4.21,64
2015-12-13,434.7,432.3,441.0,420.8,64.14,0.56,70
2015-12-06,393.4,386.7,402.2,382.6,131.86,1.73,91
2015-11-29,370.8,355.8,372.8,354.5,67.37,4.22,56
2015-11-22,322.8,324.7,326.9,319.4,36.75,-0.59,58
2015-11-15,317.5,331.8,334.8,314.2,88.32,-4.32,62
2015-11-08,371.6,385.1,389.8,365.5,94.36,-3.51,66
2015-11-01,323.0,311.2,324.3,304.7,73.71,3.76,100
2015-10-25,287.9,282.6,295.6,281.8,113.9,1.88,60
2015-10-18,261.7,269.6,272.4,259.5,52.27,-2.93,51
2015-10-11,247.6,245.4,248.3,244.5,41.43,0.94,46
2015-10-04,238.3,238.6,277.6,237.5,31.85,-0.1,48
2015-09-27,232.5,234.3,234.8,231.8,36.14,-0.77,45
2015-09-20,231.1,231.1,232.7,229.9,33.15,0.0,48
2015-09-13,230.2,235.6,236.2,228.3,51.6,-2.3,47
2015-09-06,239.9,233.7,243.6,234.7,66.27,2.65,46
